"ruta_relativa";"n_palabras";"legible";"idioma"
"corpus/ES0318559_FTA Caixa Penedés FTGENCAT 1 TDA\No_OCR_ES0318559_FTA Caixa Penedés FTGENCAT 1 TDA_completo.txt";73612;TRUE;"castellano"
"corpus/ES0323975005\No_OCR_ES0323975005_completo.txt";104210;TRUE;"castellano"
"corpus/ES0323975_FTA Rural Hipotecario XI\No_OCR_ES0323975_FTA Rural Hipotecario XI_completo.txt";104210;TRUE;"castellano"
"corpus/ES0323976_FTA Rural Hipotecario XII\No_OCR_ES0323976_FTA Rural Hipotecario XII_completo.txt";103898;TRUE;"castellano"
"corpus/ES0323977_FTA Rural Hipotecario XV\No_OCR_ES0323977_FTA Rural Hipotecario XV_completo.txt";76657;TRUE;"castellano"
"corpus/ES0323978_FTA Rural Hipotecario XVI\No_OCR_ES0323978_FTA Rural Hipotecario XVI_completo.txt";74989;TRUE;"castellano"
"corpus/ES0328421_FTA EdT FTPYME Pastor 3\No_OCR_ES0328421_FTA EdT FTPYME Pastor 3_completo.txt";76553;TRUE;"castellano"
"corpus/ES0332233_FTA GC FTPYME Pastor 4\No_OCR_ES0332233_FTA GC FTPYME Pastor 4_completo.txt";73778;TRUE;"castellano"
"corpus/ES0332235_FTA PASTOR IPOTECARIO 5\No_OCR_ES0332235_FTA PASTOR IPOTECARIO 5_completo.txt";57419;TRUE;"castellano"
"corpus/ES0337773_FTA Foncaixa FTGENCAT 6\No_OCR_ES0337773_FTA Foncaixa FTGENCAT 6_completo.txt";72826;TRUE;"castellano"
"corpus/ES0337782017 FONCAIXA FTGENCAT 5\No_OCR_ES0337782017 FONCAIXA FTGENCAT 5_completo.txt";74256;TRUE;"castellano"
"corpus/ES0337782017 Fondcaixa\No_OCR_ES0337782017 Fondcaixa_completo.txt";74256;TRUE;"castellano"
"corpus/ES0337782_FTA Foncaixa FTGENCAT 5\No_OCR_ES0337782_FTA Foncaixa FTGENCAT 5_completo.txt";74256;TRUE;"castellano"
"corpus/ES0337985_FTA UCI 17\No_OCR_ES0337985_FTA UCI 17_completo.txt";83860;TRUE;"castellano"
"corpus/ES0338093_FTA Santander Hipotecario 3\No_OCR_ES0338093_FTA Santander Hipotecario 3_completo.txt";68398;TRUE;"castellano"
"corpus/ES0338147_FTA UCI 12\No_OCR_ES0338147_FTA UCI 12_completo.txt";52893;TRUE;"castellano"
"corpus/ES0338147_FTA UCI 12_ingles\No_OCR_ES0338147_FTA UCI 12_ingles_completo.txt";50255;TRUE;"inglés"
"corpus/ES0338186_FTA UCI 16\No_OCR_ES0338186_FTA UCI 16_completo.txt";76028;TRUE;"castellano"
"corpus/ES0338340_FTA BTN UCI 11\No_OCR_ES0338340_FTA BTN UCI 11_completo.txt";65718;TRUE;"castellano"
"corpus/ES0338340_FTA BTN UCI 11_ingles\No_OCR_ES0338340_FTA BTN UCI 11_ingles_completo.txt";59111;TRUE;"inglés"
"corpus/ES0338341_FTA UCI 14\No_OCR_ES0338341_FTA UCI 14_completo.txt";56462;TRUE;"castellano"
"corpus/ES0338451_FTA TDA Ibercaja 2\No_OCR_ES0338451_FTA TDA Ibercaja 2_completo.txt";57653;TRUE;"castellano"
"corpus/ES0338451_FTA TDA Ibercaja 2_ingles\No_OCR_ES0338451_FTA TDA Ibercaja 2_ingles_completo.txt";56974;TRUE;"inglés"
"corpus/ES0338452_FTA TDA Ibercaja 3\No_OCR_ES0338452_FTA TDA Ibercaja 3_completo.txt";57465;TRUE;"castellano"
