Fecha Bonos de la Serie A1 Bonos de la Serie A2 Bonos de la Serie B Bonos de la Serie C Bonos de la Serie D Bonos de la Serie E
de Principal Intereses Flujo Principal Intereses Flujo Principal Intereses Flujo Principal Intereses Flujo Principal Intereses Flujo Principal Intereses Flujo
Pago Amortizado Brutos Total Amortizado Brutos Total Amortizado Brutos Total Amortizado Brutos Total Amortizado Brutos Total Amortizado Brutos Total
TOTALES: 100.000,00 3.259,17 103.259,17 100.000,00 12.963,82 112.963,82 100.000,00 21.459,68 121.459,68 100.000,00 25.229,71 125.229,71 100.000,00 36.899,40 136.899,40 100.000,00 59.942,43 159.942,43
21 dic 2007 0,00 0,00 0,00 3.085,97 414,81 3.500,78 0,00 604,39 604,39 0,00 710,56 710,56 0,00 1.039,17 1.039,17 0,00 1.544,73 1.544,73
21 mar 2008 0,00 0,00 0,00 2.973,51 397,18 3.370,69 0,00 604,39 604,39 0,00 710,56 710,56 0,00 1.039,17 1.039,17 0,00 1.544,73 1.544,73
23 jun 2008 0,00 0,00 0,00 2.886,09 392,71 3.278,80 0,00 624,32 624,32 0,00 733,98 733,98 0,00 1.073,43 1.073,43 0,00 1.561,70 1.561,70
22 sep 2008 0,00 0,00 0,00 2.777,85 363,69 3.141,54 0,00 604,39 604,39 0,00 710,56 710,56 0,00 1.039,17 1.039,17 0,00 1.561,70 1.561,70
22 dic 2008 0,00 0,00 0,00 2.651,56 347,81 2.999,37 0,00 604,39 604,39 0,00 710,56 710,56 0,00 1.039,17 1.039,17 0,00 1.544,73 1.544,73
23 mar 2009 0,00 0,00 0,00 2.531,53 332,66 2.864,19 0,00 604,39 604,39 0,00 710,56 710,56 0,00 1.039,17 1.039,17 0,00 1.527,75 1.527,75
22 jun 2009 0,00 0,00 0,00 2.477,36 318,19 2.795,55 0,00 604,39 604,39 0,00 710,56 710,56 0,00 1.039,17 1.039,17 0,00 1.561,70 1.561,70
21 sep 2009 0,00 0,00 0,00 2.383,14 304,03 2.687,17 0,00 604,39 604,39 0,00 710,56 710,56 0,00 1.039,17 1.039,17 0,00 1.561,70 1.561,70
21 dic 2009 0,00 0,00 0,00 2.273,59 290,41 2.564,00 0,00 604,39 604,39 0,00 710,56 710,56 0,00 1.039,17 1.039,17 4.022,96 1.544,73 5.567,69
22 mar 2010 0,00 0,00 0,00 1.865,43 277,41 2.142,84 7.710,00 604,39 8.314,39 7.707,27 710,56 8.417,83 7.698,37 1.039,17 8.737,54 3.967,41 1.466,29 5.433,70
21 jun 2010 0,00 0,00 0,00 1.968,44 266,75 2.235,19 3.892,33 557,79 4.450,12 3.892,44 655,79 4.548,23 3.892,82 959,17 4.851,99 3.880,50 1.436,91 5.317,41
21 sep 2010 0,00 0,00 0,00 1.893,37 258,31 2.151,68 3.743,87 540,14 4.284,01 3.743,98 635,04 4.379,02 3.744,34 928,81 4.673,15 3.732,50 1.376,31 5.108,81
21 dic 2010 0,00 0,00 0,00 1.806,42 244,68 2.051,10 3.571,95 511,64 4.083,59 3.572,06 601,53 4.173,59 3.572,40 879,81 4.452,21 3.561,10 1.303,70 4.864,80
21 mar 2011 0,00 0,00 0,00 1.724,15 231,78 1.955,93 3.409,26 484,67 3.893,93 3.409,36 569,82 3.979,18 3.409,69 833,42 4.243,11 3.398,91 1.234,96 4.633,87
21 jun 2011 0,00 0,00 0,00 1.685,30 226,97 1.912,27 3.332,45 474,61 3.807,06 3.332,55 557,99 3.890,54 3.332,87 816,12 4.148,99 3.322,32 1.209,33 4.531,65
21 sep 2011 0,00 0,00 0,00 1.619,86 217,23 1.837,09 3.203,04 454,24 3.657,28 3.203,14 534,05 3.737,19 3.203,45 781,11 3.984,56 3.193,31 1.157,44 4.350,75
21 dic 2011 0,00 0,00 0,00 1.544,67 205,61 1.750,28 3.054,37 429,95 3.484,32 3.054,46 505,49 3.559,95 3.054,75 739,33 3.794,08 3.045,09 1.095,53 4.140,62
21 mar 2012 0,00 0,00 0,00 1.485,38 196,78 1.682,16 2.937,13 411,49 3.348,62 2.937,22 483,78 3.421,00 2.937,50 707,58 3.645,08 2.928,21 1.048,50 3.976,71
21 jun 2012 0,00 0,00 0,00 1.439,07 190,36 1.629,43 2.845,56 398,06 3.243,62 2.845,64 468,00 3.313,64 2.845,92 684,50 3.530,42 2.836,91 1.014,29 3.851,20
21 sep 2012 0,00 0,00 0,00 1.382,81 182,05 1.564,86 2.734,31 380,67 3.114,98 2.734,39 447,56 3.181,95 2.734,66 654,60 3.389,26 2.726,01 969,98 3.695,99
21 dic 2012 0,00 0,00 0,00 1.318,56 172,17 1.490,73 2.607,27 360,01 2.967,28 2.607,35 423,26 3.030,61 2.607,60 619,07 3.226,67 2.599,35 917,33 3.516,68
21 mar 2013 0,00 0,00 0,00 1.257,78 162,82 1.420,60 2.487,08 340,47 2.827,55 2.487,15 400,29 2.887,44 2.487,39 585,46 3.072,85 2.479,52 867,54 3.347,06
21 jun 2013 0,00 0,00 0,00 1.227,34 159,17 1.386,51 2.426,90 332,84 2.759,74 2.426,97 391,32 2.818,29 2.427,21 572,34 2.999,55 2.419,53 848,10 3.267,63
23 sep 2013 0,00 0,00 0,00 1.178,03 155,39 1.333,42 2.329,40 324,92 2.654,32 2.329,47 382,01 2.711,48 2.329,69 558,73 2.888,42 2.045,30 810,31 2.855,61
23 dic 2013 0,00 0,00 0,00 1.121,95 143,69 1.265,64 2.218,50 300,47 2.518,97 2.218,57 353,27 2.571,84 2.218,78 516,69 2.735,47 0,00 769,91 769,91
21 mar 2014 0,00 0,00 0,00 1.068,38 132,76 1.201,14 2.112,58 277,60 2.390,18 2.112,64 326,37 2.439,01 2.112,85 477,36 2.590,21 0,00 761,45 761,45
23 jun 2014 0,00 0,00 0,00 1.038,63 135,50 1.174,13 2.053,74 283,34 2.337,08 2.053,80 333,12 2.386,92 2.054,00 487,23 2.541,23 0,00 778,37 778,37
22 sep 2014 0,00 0,00 0,00 992,93 125,24 1.118,17 1.963,38 261,88 2.225,26 1.963,43 307,90 2.271,33 1.963,62 450,33 2.413,95 0,00 778,37 778,37
22 dic 2014 0,00 0,00 0,00 943,38 119,57 1.062,95 1.865,40 250,02 2.115,42 1.865,46 293,94 2.159,40 1.865,64 429,93 2.295,57 0,00 769,91 769,91
23 mar 2015 0,00 0,00 0,00 897,25 114,17 1.011,42 1.774,18 238,74 2.012,92 1.774,23 280,69 2.054,92 1.774,41 410,54 2.184,95 0,00 761,45 761,45
22 jun 2015 0,00 0,00 0,00 874,53 109,05 983,58 1.729,26 228,02 1.957,28 1.729,31 268,08 1.997,39 1.729,47 392,10 2.121,57 0,00 778,37 778,37
21 sep 2015 0,00 0,00 0,00 839,36 104,05 943,41 1.659,73 217,57 1.877,30 1.659,78 255,79 1.915,57 1.659,94 374,13 2.034,07 0,00 778,37 778,37
21 dic 2015 0,00 0,00 0,00 799,79 99,25 899,04 1.581,48 207,54 1.789,02 1.581,53 244,00 1.825,53 1.581,68 356,88 1.938,56 0,00 769,91 769,91
21 mar 2016 0,00 0,00 0,00 767,40 94,68 862,08 1.517,43 197,98 1.715,41 1.517,47 232,76 1.750,23 1.517,62 340,44 1.858,06 0,00 769,91 769,91
21 jun 2016 0,00 0,00 0,00 741,56 91,29 832,85 1.466,34 190,88 1.657,22 1.466,38 224,42 1.690,80 1.466,52 328,24 1.794,76 0,00 778,37 778,37
21 sep 2016 0,00 0,00 0,00 710,92 87,00 797,92 1.405,74 181,92 1.587,66 1.405,78 213,89 1.619,67 1.405,91 312,83 1.718,74 0,00 778,37 778,37
21 dic 2016 0,00 0,00 0,00 676,58 81,99 758,57 1.337,84 171,45 1.509,29 1.337,88 201,57 1.539,45 1.338,01 294,82 1.632,83 0,00 769,91 769,91
21 mar 2017 0,00 0,00 0,00 643,82 77,27 721,09 1.273,07 161,57 1.434,64 1.273,11 189,96 1.463,07 1.273,24 277,83 1.551,07 0,00 761,45 761,45
21 jun 2017 0,00 0,00 0,00 626,60 75,26 701,86 1.239,01 157,38 1.396,39 1.239,04 185,03 1.424,07 1.239,16 270,63 1.509,79 0,00 778,37 778,37
21 sep 2017 0,00 0,00 0,00 600,95 71,64 672,59 1.188,30 149,81 1.338,11 1.188,34 176,13 1.364,47 1.188,45 257,61 1.446,06 0,00 778,37 778,37
21 dic 2017 0,00 0,00 0,00 572,29 67,43 639,72 1.131,62 141,00 1.272,62 1.131,65 165,77 1.297,42 1.131,76 242,46 1.374,22 0,00 769,91 769,91
21 mar 2018 0,00 0,00 0,00 545,16 63,45 608,61 1.077,97 132,69 1.210,66 1.078,00 156,00 1.234,00 1.078,11 228,16 1.306,27 0,00 761,45 761,45
21 jun 2018 0,00 0,00 0,00 529,74 61,71 591,45 1.047,49 129,05 1.176,54 1.047,52 151,72 1.199,24 1.047,62 221,91 1.269,53 0,00 778,37 778,37
21 sep 2018 0,00 0,00 0,00 10.150,89 58,65 10.209,54 20.072,02 122,65 20.194,67 20.072,63 144,19 20.216,82 20.074,55 210,90 20.285,45 49.841,07 778,37 50.619,44
