Flujos de caja por Bono con TACP del 14%
Constitución 12-feb-07 Bonos 1.200.000.000 Bonos 1er periodo Resto periodos
Desembolso 16-feb-07 Tramo A 1.117.800.000 Tramo A 4,033% 3,942%
1ª Fecha Pago 16-jul-07 Tramo B 58.200.000 Tramo B 4,223% 4,132%
Tramo C 24.000.000 Tramo C 4,523% 4,432%,,,,,
,Bonos del Tramo A,,Bonos del Tramo B,,Bonos del Tramo C
Fecha
Pago,Saldo Vivo Principal
al final periodo amortizado Intereses
100.000,00,,Saldo Vivo Principal
al final periodo amortizado Intereses
100.000,00,,Saldo Vivo Principal
al final periodo amortizado Intereses
0,00 9.352,11 94,21,,100.000,00 0,00 1.759,58
100.000,00 0,00 1.044,48
100.000,00 0,00 1.055,96
100.000,00 0,00 1.044,48
100.000,00 0,00 1.044,48
100.000,00 0,00 1.055,96
100.000,00 0,00 1.055,96
100.000,00 0,00 1.033,00
100.000,00 0,00 1.044,48
100.000,00 0,00 1.055,96
100.000,00 0,00 1.055,96
92.028,08 7.971,92 1.033,00
88.042,27 3.985,81 961,21
84.219,91 3.822,36 929,69
80.554,71 3.665,20 889,33
77.040,45 3.514,26 832,13
73.671,30 3.369,14 804,67
70.441,38 3.229,92 777,94
67.345,25 3.096,13 743,83
64.377,66 2.967,59 703,41
61.533,40 2.844,26 672,41
58.807,34 2.726,06 649,77
56.195,58 2.611,76 620,98
53.693,27 2.502,30 580,50
51.295,82 2.397,45 560,81
48.999,35 2.296,47 541,66
46.799,27 2.200,08 517,41
44.691,96 2.107,31 483,44
42.673,94 2.018,02 466,80
40.741,20 1.932,74 450,62
38.890,46 1.850,74 430,21
37.118,31 1.772,15 401,74
35.422,13 1.696,19 387,69
33.798,88 1.623,25 374,04
32.245,08 1.553,80 356,90
30.757,69 1.487,38 336,79
29.334,63 1.423,07 321,26
27.973,24 1.361,39 309,76
26.670,44 1.302,80 295,39
25.423,95 1.246,49 275,51
24.231,49 1.192,46 265,55
23.091,04 1.140,45 255,87
22.000,15 1.090,88 243,83
20.956,78 1.043,38 227,26
19.958,77 998,01 218,89
19.004,12 954,65 210,76
18.091,20 912,92 200,68
17.218,42 872,78 186,88
16.384,03 834,38 179,84
15.586,56 797,48 173,01
0,00 15.586,55 164,59,,100.000,00 0,00 1.884,58
100.000,00 0,00 1.120,31
100.000,00 0,00 1.132,62
100.000,00 0,00 1.120,31
100.000,00 0,00 1.120,31
100.000,00 0,00 1.132,62
100.000,00 0,00 1.132,62
100.000,00 0,00 1.108,00
100.000,00 0,00 1.120,31
100.000,00 0,00 1.132,62
100.000,00 0,00 1.132,62
92.096,53 7.903,47 1.108,00
88.107,76 3.988,78 1.031,77
84.282,56 3.825,20 997,93
80.614,63 3.667,93 954,60
77.097,75 3.516,88 893,21
73.726,10 3.371,65 863,74
70.493,78 3.232,32 835,04
67.395,35 3.098,44 798,43
64.425,55 2.969,80 755,04
61.579,17 2.846,38 721,77
58.851,08 2.728,09 697,46
56.237,38 2.613,70 666,56
53.733,21 2.504,17 623,11
51.333,97 2.399,24 601,98
49.035,80 2.298,18 581,42
46.834,08 2.201,72 555,39
44.725,20 2.108,88 518,92
42.705,68 2.019,52 501,06
40.771,50 1.934,18 483,69
38.919,39 1.852,11 461,79
37.145,92 1.773,47 431,23
35.448,48 1.697,45 416,15
33.824,02 1.624,46 401,50
32.269,06 1.554,96 383,10
30.780,57 1.488,49 361,51
29.356,44 1.424,13 344,84
27.994,05 1.362,40 332,50
26.690,28 1.303,77 317,07
25.442,86 1.247,42 295,73
24.249,51 1.193,35 285,04
23.108,21 1.141,30 274,66
22.016,52 1.091,69 261,73
20.972,36 1.044,15 243,94
19.973,61 998,75 234,96
19.018,25 955,36 226,23
18.104,65 913,60 215,41
17.231,22 873,43 200,60
16.396,22 835,00 193,04
15.598,15 798,07 185,71
0,00 15.598,15 176,67
