Flujos de caja por Bono con TACP del 6%
Constitución 12-feb-07 Bonos 1.200.000.000 Bonos 1er periodo Resto periodos
Desembolso 16-feb-07 Tramo A 1.117.800.000 Tramo A 4,033% 3,942%
1ª Fecha Pago 16-jul-07 Tramo B 58.200.000 Tramo B 4,223% 4,132%
Tramo C 24.000.000 Tramo C 4,523% 4,432%,,,,,
,Bonos del Tramo A,,Bonos del Tramo B,,Bonos del Tramo C
Fecha
Pago,Saldo Vivo Principal
al fin1a0l0 p.0e0ri0o,d0o0 amortizado Intereses,,Saldo Vivo Principal
al fin1a0l0 p.0e0ri0o,d0o0 amortizado Intereses,,Saldo Vivo Principal
al fin1a0l0 p.0e0ri0o,d0o0 amortizado Intereses
15-jul-23 18.446,33 597,03 189,76 30.743,30 995,04 331,50 30.766,17 995,78 355,83
15-oct-23 17.861,61 584,72 185,83 29.768,77 974,52 324,64 29.790,92 975,25 348,46
15-ene-24 17.288,87 572,74 179,94 28.814,23 954,55 314,35 28.835,66 955,26 337,42
15-abr-24 16.728,54 560,33 172,28 27.880,36 933,87 300,96 27.901,10 934,56 323,05
15-jul-24 16.179,68 548,86 166,69 26.965,61 914,75 291,20 26.985,67 915,43 312,58
15-oct-24 15.642,07 537,61 162,99 26.069,61 896,00 284,75 26.089,01 896,67 305,65
15-ene-25 15.115,74 526,33 157,58 25.192,41 877,20 275,28 25.211,16 877,85 295,49
15-abr-25 14.600,70 515,04 148,97 24.334,03 858,38 260,24 24.352,13 859,02 279,34
15-jul-25 14.098,36 502,34 145,49 23.496,81 837,22 254,16 23.514,29 837,84 272,82
15-oct-25 13.609,48 488,88 142,03 22.682,02 814,79 248,12 22.698,89 815,40 266,33
15-ene-26 13.132,63 476,84 137,10 21.887,30 794,72 239,51 21.903,58 795,31 257,09
15-abr-26 12.667,68 464,96 129,42 21.112,38 774,92 226,10 21.128,09 775,49 242,69
15-jul-26 12.213,96 453,72 126,23 20.356,20 756,19 220,51 20.371,34 756,75 236,70
15-oct-26 11.770,88 443,07 123,04 19.617,76 738,44 214,95 19.632,35 738,99 230,73
15-ene-27 11.337,59 433,30 118,58 18.895,61 722,15 207,16 18.909,67 722,69 222,36
15-abr-27 10.913,83 423,76 111,73 18.189,36 706,25 195,19 18.202,89 706,78 209,52
15-jul-27 10.499,48 414,35 108,75 17.498,80 690,56 189,98 17.511,82 691,08 203,93
15-oct-27 10.094,34 405,14 105,77 16.823,58 675,22 184,78 16.836,10 675,72 198,34
15-ene-28 9.698,00 396,35 101,69 16.163,02 660,57 177,65 16.175,04 661,06 190,69
15-abr-28 9.310,22 387,78 96,64 15.516,73 646,28 168,82 15.528,27 646,77 181,21
15-jul-28 0,00 9.310,22 92,77 0,00 15.516,73 162,07 0,00 15.528,27 173,97
Totales 100.000,00 36.106,04 100.000,00 55.642,93 100.000,00 59.706,34,96.479,88 3.520,12 1.680,42
94.313,04 2.166,84 961,37
92.185,96 2.127,08 950,11
90.100,27 2.085,70 918,59
88.052,54 2.047,72 897,80
86.039,51 2.013,03 887,04
84.056,48 1.983,03 866,76
82.108,40 1.948,09 828,38
80.193,25 1.915,15 818,17
78.310,68 1.882,56 807,87
76.460,50 1.850,18 788,90
74.641,87 1.818,64 753,52
72.854,46 1.787,41 743,77
71.097,46 1.757,00 733,94
69.370,58 1.726,88 716,24
67.673,37 1.697,21 683,65
66.005,54 1.667,83 674,33
64.366,53 1.639,01 664,94
62.755,99 1.610,54 648,43
61.173,59 1.582,40 625,33
59.659,14 1.514,45 609,56
58.298,17 1.360,97 601,01
56.961,68 1.336,48 587,30
55.649,06 1.312,62 561,36
54.359,72 1.289,34 554,52
53.093,68 1.266,04 547,62
51.850,02 1.243,66 534,87
50.628,67 1.221,35 510,98
49.429,60 1.199,07 504,49
48.252,02 1.177,59 497,95
47.095,79 1.156,23 486,09
45.960,47 1.135,31 464,13
44.846,46 1.114,01 457,97
43.753,53 1.092,93 451,78
42.680,70 1.072,83 440,77
41.627,39 1.053,31 425,29
40.594,13 1.033,26 414,80
39.580,63 1.013,50 408,95
38.585,80 994,83 398,74
37.609,50 976,30 380,26
36.651,51 957,99 374,76
35.711,86 939,65 369,23
34.789,81 922,05 359,76
33.885,04 904,76 342,85
32.997,00 888,04 337,65
32.125,20 871,81 332,41
31.269,62 855,58 323,63
30.430,27 839,36 308,16
29.606,74 823,53 303,22
28.798,99 807,75 298,26
28.006,92 792,07 290,12
27.230,36 776,57 279,08
26.469,02 761,34 271,34
25.723,18 745,84 266,65
24.992,49 730,69 259,14
24.276,77 715,72 246,30
23.575,50 701,26 241,91
22.888,49 687,01 237,50
22.214,98 673,52 230,58
21.555,01 659,97 218,93
20.908,11 646,89 214,79
20.274,00 634,11 210,63
19.652,51 621,50 204,24
19.043,37 609,14 193,68
18.446,33 597,03 189,76
17.861,61 584,72 185,83
17.288,87 572,74 179,94
16.728,54 560,33 172,28
16.179,68 548,86 166,69
15.642,07 537,61 162,99
15.115,74 526,33 157,58
14.600,70 515,04 148,97
14.098,36 502,34 145,49
13.609,48 488,88 142,03
13.132,63 476,84 137,10
12.667,68 464,96 129,42
12.213,96 453,72 126,23
11.770,88 443,07 123,04
11.337,59 433,30 118,58
10.913,83 423,76 111,73
10.499,48 414,35 108,75
10.094,34 405,14 105,77
9.698,00 396,35 101,69
9.310,22 387,78 96,64
0,00 9.310,22 92,77,,100.000,00 0,00 1.759,58
100.000,00 0,00 1.044,48
100.000,00 0,00 1.055,96
100.000,00 0,00 1.044,48
100.000,00 0,00 1.044,48
100.000,00 0,00 1.055,96
100.000,00 0,00 1.055,96
100.000,00 0,00 1.033,00
100.000,00 0,00 1.044,48
100.000,00 0,00 1.055,96
100.000,00 0,00 1.055,96
100.000,00 0,00 1.033,00
100.000,00 0,00 1.044,48
100.000,00 0,00 1.055,96
100.000,00 0,00 1.055,96
100.000,00 0,00 1.033,00
100.000,00 0,00 1.044,48
100.000,00 0,00 1.055,96
100.000,00 0,00 1.055,96
100.000,00 0,00 1.044,48
99.429,99 570,02 1.044,48
97.161,74 2.268,25 1.049,94
94.934,31 2.227,43 1.025,99
92.746,65 2.187,66 980,67
90.597,79 2.148,86 968,72
88.487,77 2.110,02 956,67
86.415,04 2.072,73 934,39
84.379,50 2.035,54 892,67
82.381,09 1.998,41 881,33
80.418,48 1.962,61 869,91
78.491,47 1.927,01 849,18
76.599,32 1.892,15 810,82
74.742,67 1.856,65 800,06
72.921,15 1.821,52 789,25
71.133,13 1.788,02 770,02
69.377,64 1.755,49 742,97
67.655,58 1.722,06 724,63
65.966,45 1.689,13 714,41
64.308,42 1.658,03 696,58
62.681,29 1.627,13 664,31
61.084,67 1.596,62 654,69
59.518,62 1.566,06 645,03
57.981,89 1.536,72 628,49
